text,emotion_label,sentiment_label,irony_label
"Aucun rapport avec les 10 commandements. C'est 10 minis films ont tous un points commun, l'ennuie qu'il procure quand on les regardes. L'humour est bien lourd, les acteurs piteux et les gags immondes. Un film très dur à terminer. Vraiment très dur.",-1,0,-1
"Adaptation d'un roman d'Edgar Rice Burroughs, ce film d'aventure fantastique de Kevin Connor souffre clairement d'un manque de moyen financier et d'un scénario assez basique. Mais l'ensemble n'a rien de honteux pour autant et ce regarde sans ennui grâce à une mise en scène agréable et à la sympathique prestation de Doug McClure.",-1,0,-1
"Superbe suite à la hauteur au moins du premier opus. De la science fiction quand c'est bien fait on adore, quand il y a de l'imagination et un petit budget ça devient vraiment génial ! Eh oui Vin Diesel c'est là qu'on le préfère !",-1,2,-1
"Ca n'a pas grand intérêt mais ça se laisse regarder. un p'tit budget au départ, quelques personnages sympas, une intro lente qui laisse aller l'imagination. Le dernier tiers du film est le moins intéressant (ça rappelle forcémént un autre film et ses 2 suites) mais c'est suffisamment gore pour capter l'attention. En plus, les quelques situations et rebondissements incontournables au genre évitent le ridicule dans 98% des cas :)",-1,0,-1
"Ce drame d'adolescents est empreint de beaucoup de sensibilité et de pudeur. C'est super bien interprèté et l'intrigue rondement menée. Ce film a des cotés à la Chabrol. A voir, sans modération !",-1,2,-1
"Très sympathique comédie qui prouve que peuvent venir de Thaïlande autre chose que des films d'arts martiaux ou des films d'auteur (excellents,mais pas toujours faciles d'accès) tels que la Palme d'or 2010, Oncle Bonmee. C'est parfois kitsch et excessif (mais apparemment, d'après le générique de fin, dans ce domaine, la réalité dépasse la fiction...); mais jamais vulgaire. J'aime le regard finalement décomplexé sur le sujet (les personnages sont excessifs, mais pas des caricatures style Cage aux folles) et sur ces gens qui s'assument. Le problème, ce sont les gens qui n'acceptent pas cette différence... Le message de tolérance est toujours bon à prendre, surtout quand il est donné comme ici avec humour, et sans pathos. L'interprétation , bien sûr, manque parfois de sobriété (euphémisme...) mais c'est bien dans le ton de ce film Le meilleur dans tout ça, c'est que c'est tiré d'une histoire vraie. Il semble que la Thaïlande ait beaucoup à nous apprendre sur l'acceptation de ces différences-là., malgré les difficultés rencontrées par les personnages du film....",-1,2,-1
"De la couleur, de la poésie, des sentiments qui souvent se télescopent, mais sans jamais faire de bruit. Et ça c'est rare et donc magique. Un moment précieux de pur bonheur. Si je devais résumer (ou tenter), je dirai : comment sans prendre plein la ... et garder le sourire. Et même un brin de philosophie en sus. Cela nous semble être une pure fiction, une BD, une caricature de personnages. Et pourtant, le fameux panneau évoquant toute ressemblance involontaire et fortuite, ne peut apparaître ici. Soit un traitement adolescent …d'une vraie vie d'adultes pourtant. Une belle leçon surtout. Un réalisateur manifestement bourré de talent. Pourvu qu’il continue ainsi.",-1,2,-1
N'importe quoi !,2,-1,-1
Je suis trop content !,0,-1,-1
"Le cousin américain est venu tourner les 10 premieres minutes du film. On espère que ça va tenir... mais le cousin américain est reparti aux states en emenant le scénariste. Résultat, dès la 11e minute le film tourne en rond avec une énième ressucée des mors vivants zombies qui mangent les vivants-vivants. Difficile même de tenir jusqu'au bout, sauf à s'endormir... Nullissime",-1,0,-1
