text,is_ironic
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
