text,emotion,emotion_id,sentiment,is_ironic,text_clean,text_length,word_count,emoji_count,exclamation_count,question_count
"C'est fantastique, je ne m'y attendais pas ! 🎉",joie,0,2,0,"C'est fantastique, je ne m'y attendais pas ! 🎉",46,9,1,1,0
La réunion est à 10h.,neutre,6,1,0,La réunion est à 10h.,21,5,0,0,0
"Je suis trop content, c'est génial ! 😊",joie,0,2,0,"Je suis trop content, c'est génial ! 😊",38,8,1,1,0
J'ai rendez-vous demain.,neutre,6,1,0,J'ai rendez-vous demain.,24,3,0,0,0
"Super nouvelle, je suis ravi !",joie,0,2,0,"Super nouvelle, je suis ravi !",30,6,0,1,0
"C'est effrayant, je suis terrorisé",peur,3,0,0,"C'est effrayant, je suis terrorisé",34,5,0,0,0
"C'est inadmissible, je suis furieux !",colere,2,0,0,"C'est inadmissible, je suis furieux !",37,6,0,1,0
"C'est inattendu, je suis choqué !",surprise,4,2,0,"C'est inattendu, je suis choqué !",33,6,0,1,0
Je suis vraiment triste aujourd'hui 😢,tristesse,1,0,1,Je suis vraiment triste aujourd'hui 😢,37,6,1,0,0
"Quelle déception, je suis dévasté",tristesse,1,0,1,"Quelle déception, je suis dévasté",33,5,0,0,0
Il fait beau aujourd'hui.,neutre,6,1,0,Il fait beau aujourd'hui.,25,4,0,0,0
"C'est inattendu, je suis choqué !",surprise,4,2,1,"C'est inattendu, je suis choqué !",33,6,0,1,0
"Rien ne va plus, tout est noir 😔",tristesse,1,0,1,"Rien ne va plus, tout est noir 😔",32,8,1,0,0
"Rien ne va plus, tout est noir 😔",tristesse,1,0,0,"Rien ne va plus, tout est noir 😔",32,8,1,0,0
"C'est effrayant, je suis terrorisé",peur,3,0,0,"C'est effrayant, je suis terrorisé",34,5,0,0,0
"Rien ne va plus, tout est noir 😔",tristesse,1,0,0,"Rien ne va plus, tout est noir 😔",32,8,1,0,0
Oh ! Je ne m'attendais pas à ça ! 😮,surprise,4,2,0,Oh ! Je ne m'attendais pas à ça ! 😮,35,10,1,2,0
"Quelle horreur, c'est immonde",degout,5,0,0,"Quelle horreur, c'est immonde",29,4,0,0,0
"C'est inattendu, je suis choqué !",surprise,4,2,1,"C'est inattendu, je suis choqué !",33,6,0,1,0
"J'ai des frissons, c'est inquiétant",peur,3,0,0,"J'ai des frissons, c'est inquiétant",35,5,0,0,0
"Je suis anxieux, ça me stresse",peur,3,0,0,"Je suis anxieux, ça me stresse",30,6,0,0,0
Le magasin est fermé le dimanche.,neutre,6,1,1,Le magasin est fermé le dimanche.,33,6,0,0,0
Je n'en crois pas mes yeux ! 😲,surprise,4,2,1,Je n'en crois pas mes yeux ! 😲,30,8,1,1,0
Le train arrive à 15h.,neutre,6,1,0,Le train arrive à 15h.,22,5,0,0,0
"Quelle incompétence, c'est révoltant !",colere,2,0,0,"Quelle incompétence, c'est révoltant !",38,5,0,1,0
"Quelle déception, je suis dévasté",tristesse,1,0,0,"Quelle déception, je suis dévasté",33,5,0,0,0
"C'est fantastique, je ne m'y attendais pas ! 🎉",joie,0,2,0,"C'est fantastique, je ne m'y attendais pas ! 🎉",46,9,1,1,0
"J'ai des frissons, c'est inquiétant",peur,3,0,0,"J'ai des frissons, c'est inquiétant",35,5,0,0,0
