text,sentiment,sentiment_3class
"Film magnifique, j'ai adoré ! Les acteurs sont excellents.",2,2
"Une merveille du cinéma, à voir absolument ! 😍",2,2
Quel chef-d'œuvre ! Je suis sorti de la salle émerveillé.,2,2
"Excellente réalisation, scénario captivant du début à la fin.",2,2
Bravo ! Un film qui restera dans les mémoires.,2,2
"Film magnifique, j'ai adoré ! Les acteurs sont excellents.",2,2
"Une merveille du cinéma, à voir absolument ! 😍",2,2
Quel chef-d'œuvre ! Je suis sorti de la salle émerveillé.,2,2
"Excellente réalisation, scénario captivant du début à la fin.",2,2
Bravo ! Un film qui restera dans les mémoires.,2,2
"Film magnifique, j'ai adoré ! Les acteurs sont excellents.",2,2
"Une merveille du cinéma, à voir absolument ! 😍",2,2
Quel chef-d'œuvre ! Je suis sorti de la salle émerveillé.,2,2
"Excellente réalisation, scénario captivant du début à la fin.",2,2
Bravo ! Un film qui restera dans les mémoires.,2,2
"Film magnifique, j'ai adoré ! Les acteurs sont excellents.",2,2
"Une merveille du cinéma, à voir absolument ! 😍",2,2
Quel chef-d'œuvre ! Je suis sorti de la salle émerveillé.,2,2
"Excellente réalisation, scénario captivant du début à la fin.",2,2
Bravo ! Un film qui restera dans les mémoires.,2,2
"Film magnifique, j'ai adoré ! Les acteurs sont excellents.",2,2
"Une merveille du cinéma, à voir absolument ! 😍",2,2
Quel chef-d'œuvre ! Je suis sorti de la salle émerveillé.,2,2
"Excellente réalisation, scénario captivant du début à la fin.",2,2
Bravo ! Un film qui restera dans les mémoires.,2,2
"Film magnifique, j'ai adoré ! Les acteurs sont excellents.",2,2
"Une merveille du cinéma, à voir absolument ! 😍",2,2
Quel chef-d'œuvre ! Je suis sorti de la salle émerveillé.,2,2
"Excellente réalisation, scénario captivant du début à la fin.",2,2
Bravo ! Un film qui restera dans les mémoires.,2,2
"Film magnifique, j'ai adoré ! Les acteurs sont excellents.",2,2
"Une merveille du cinéma, à voir absolument ! 😍",2,2
Quel chef-d'œuvre ! Je suis sorti de la salle émerveillé.,2,2
"Excellente réalisation, scénario captivant du début à la fin.",2,2
Bravo ! Un film qui restera dans les mémoires.,2,2
"Film magnifique, j'ai adoré ! Les acteurs sont excellents.",2,2
"Une merveille du cinéma, à voir absolument ! 😍",2,2
Quel chef-d'œuvre ! Je suis sorti de la salle émerveillé.,2,2
"Excellente réalisation, scénario captivant du début à la fin.",2,2
Bravo ! Un film qui restera dans les mémoires.,2,2
"Film magnifique, j'ai adoré ! Les acteurs sont excellents.",2,2
"Une merveille du cinéma, à voir absolument ! 😍",2,2
Quel chef-d'œuvre ! Je suis sorti de la salle émerveillé.,2,2
"Excellente réalisation, scénario captivant du début à la fin.",2,2
Bravo ! Un film qui restera dans les mémoires.,2,2
"Film magnifique, j'ai adoré ! Les acteurs sont excellents.",2,2
"Une merveille du cinéma, à voir absolument ! 😍",2,2
Quel chef-d'œuvre ! Je suis sorti de la salle émerveillé.,2,2
"Excellente réalisation, scénario captivant du début à la fin.",2,2
Bravo ! Un film qui restera dans les mémoires.,2,2
"Film magnifique, j'ai adoré ! Les acteurs sont excellents.",2,2
"Une merveille du cinéma, à voir absolument ! 😍",2,2
Quel chef-d'œuvre ! Je suis sorti de la salle émerveillé.,2,2
"Excellente réalisation, scénario captivant du début à la fin.",2,2
Bravo ! Un film qui restera dans les mémoires.,2,2
"Film magnifique, j'ai adoré ! Les acteurs sont excellents.",2,2
"Une merveille du cinéma, à voir absolument ! 😍",2,2
Quel chef-d'œuvre ! Je suis sorti de la salle émerveillé.,2,2
"Excellente réalisation, scénario captivant du début à la fin.",2,2
Bravo ! Un film qui restera dans les mémoires.,2,2
"Film magnifique, j'ai adoré ! Les acteurs sont excellents.",2,2
"Une merveille du cinéma, à voir absolument ! 😍",2,2
Quel chef-d'œuvre ! Je suis sorti de la salle émerveillé.,2,2
"Excellente réalisation, scénario captivant du début à la fin.",2,2
Bravo ! Un film qui restera dans les mémoires.,2,2
"Film magnifique, j'ai adoré ! Les acteurs sont excellents.",2,2
"Une merveille du cinéma, à voir absolument ! 😍",2,2
Quel chef-d'œuvre ! Je suis sorti de la salle émerveillé.,2,2
"Excellente réalisation, scénario captivant du début à la fin.",2,2
Bravo ! Un film qui restera dans les mémoires.,2,2
"Film magnifique, j'ai adoré ! Les acteurs sont excellents.",2,2
"Une merveille du cinéma, à voir absolument ! 😍",2,2
Quel chef-d'œuvre ! Je suis sorti de la salle émerveillé.,2,2
"Excellente réalisation, scénario captivant du début à la fin.",2,2
Bravo ! Un film qui restera dans les mémoires.,2,2
"Film magnifique, j'ai adoré ! Les acteurs sont excellents.",2,2
"Une merveille du cinéma, à voir absolument ! 😍",2,2
Quel chef-d'œuvre ! Je suis sorti de la salle émerveillé.,2,2
"Excellente réalisation, scénario captivant du début à la fin.",2,2
Bravo ! Un film qui restera dans les mémoires.,2,2
"Film magnifique, j'ai adoré ! Les acteurs sont excellents.",2,2
"Une merveille du cinéma, à voir absolument ! 😍",2,2
Quel chef-d'œuvre ! Je suis sorti de la salle émerveillé.,2,2
"Excellente réalisation, scénario captivant du début à la fin.",2,2
Bravo ! Un film qui restera dans les mémoires.,2,2
"Film magnifique, j'ai adoré ! Les acteurs sont excellents.",2,2
"Une merveille du cinéma, à voir absolument ! 😍",2,2
Quel chef-d'œuvre ! Je suis sorti de la salle émerveillé.,2,2
"Excellente réalisation, scénario captivant du début à la fin.",2,2
Bravo ! Un film qui restera dans les mémoires.,2,2
"Film magnifique, j'ai adoré ! Les acteurs sont excellents.",2,2
"Une merveille du cinéma, à voir absolument ! 😍",2,2
Quel chef-d'œuvre ! Je suis sorti de la salle émerveillé.,2,2
"Excellente réalisation, scénario captivant du début à la fin.",2,2
Bravo ! Un film qui restera dans les mémoires.,2,2
"Film magnifique, j'ai adoré ! Les acteurs sont excellents.",2,2
"Une merveille du cinéma, à voir absolument ! 😍",2,2
Quel chef-d'œuvre ! Je suis sorti de la salle émerveillé.,2,2
"Excellente réalisation, scénario captivant du début à la fin.",2,2
Bravo ! Un film qui restera dans les mémoires.,2,2
"Film magnifique, j'ai adoré ! Les acteurs sont excellents.",2,2
"Une merveille du cinéma, à voir absolument ! 😍",2,2
Quel chef-d'œuvre ! Je suis sorti de la salle émerveillé.,2,2
"Excellente réalisation, scénario captivant du début à la fin.",2,2
Bravo ! Un film qui restera dans les mémoires.,2,2
"Film magnifique, j'ai adoré ! Les acteurs sont excellents.",2,2
"Une merveille du cinéma, à voir absolument ! 😍",2,2
Quel chef-d'œuvre ! Je suis sorti de la salle émerveillé.,2,2
"Excellente réalisation, scénario captivant du début à la fin.",2,2
Bravo ! Un film qui restera dans les mémoires.,2,2
