text,emotion,emotion_id,sentiment,is_ironic
"Je suis trop content, c'est génial ! 😊",joie,0,2,0
"Quelle merveilleuse journée, j'adore !",joie,0,2,1
"Trop bien, je suis aux anges ! ❤️",joie,0,2,0
"Super nouvelle, je suis ravi !",joie,0,2,0
"C'est fantastique, je ne m'y attendais pas ! 🎉",joie,0,2,0
"Je suis trop content, c'est génial ! 😊",joie,0,2,0
"Quelle merveilleuse journée, j'adore !",joie,0,2,0
"Trop bien, je suis aux anges ! ❤️",joie,0,2,1
"Super nouvelle, je suis ravi !",joie,0,2,0
"C'est fantastique, je ne m'y attendais pas ! 🎉",joie,0,2,0
"Je suis trop content, c'est génial ! 😊",joie,0,2,0
"Quelle merveilleuse journée, j'adore !",joie,0,2,1
"Trop bien, je suis aux anges ! ❤️",joie,0,2,1
"Super nouvelle, je suis ravi !",joie,0,2,0
"C'est fantastique, je ne m'y attendais pas ! 🎉",joie,0,2,0
"Je suis trop content, c'est génial ! 😊",joie,0,2,0
"Quelle merveilleuse journée, j'adore !",joie,0,2,0
"Trop bien, je suis aux anges ! ❤️",joie,0,2,0
"Super nouvelle, je suis ravi !",joie,0,2,0
"C'est fantastique, je ne m'y attendais pas ! 🎉",joie,0,2,0
"Je suis trop content, c'est génial ! 😊",joie,0,2,0
"Quelle merveilleuse journée, j'adore !",joie,0,2,0
"Trop bien, je suis aux anges ! ❤️",joie,0,2,0
"Super nouvelle, je suis ravi !",joie,0,2,0
"C'est fantastique, je ne m'y attendais pas ! 🎉",joie,0,2,0
"Je suis trop content, c'est génial ! 😊",joie,0,2,0
"Quelle merveilleuse journée, j'adore !",joie,0,2,0
"Trop bien, je suis aux anges ! ❤️",joie,0,2,0
"Super nouvelle, je suis ravi !",joie,0,2,0
"C'est fantastique, je ne m'y attendais pas ! 🎉",joie,0,2,0
"Je suis trop content, c'est génial ! 😊",joie,0,2,0
"Quelle merveilleuse journée, j'adore !",joie,0,2,0
"Trop bien, je suis aux anges ! ❤️",joie,0,2,0
"Super nouvelle, je suis ravi !",joie,0,2,1
"C'est fantastique, je ne m'y attendais pas ! 🎉",joie,0,2,1
"Je suis trop content, c'est génial ! 😊",joie,0,2,1
"Quelle merveilleuse journée, j'adore !",joie,0,2,0
"Trop bien, je suis aux anges ! ❤️",joie,0,2,0
"Super nouvelle, je suis ravi !",joie,0,2,0
"C'est fantastique, je ne m'y attendais pas ! 🎉",joie,0,2,0
"Je suis trop content, c'est génial ! 😊",joie,0,2,0
"Quelle merveilleuse journée, j'adore !",joie,0,2,0
"Trop bien, je suis aux anges ! ❤️",joie,0,2,0
"Super nouvelle, je suis ravi !",joie,0,2,1
"C'est fantastique, je ne m'y attendais pas ! 🎉",joie,0,2,0
"Je suis trop content, c'est génial ! 😊",joie,0,2,0
"Quelle merveilleuse journée, j'adore !",joie,0,2,0
"Trop bien, je suis aux anges ! ❤️",joie,0,2,0
"Super nouvelle, je suis ravi !",joie,0,2,0
"C'est fantastique, je ne m'y attendais pas ! 🎉",joie,0,2,0
"Je suis trop content, c'est génial ! 😊",joie,0,2,1
"Quelle merveilleuse journée, j'adore !",joie,0,2,0
"Trop bien, je suis aux anges ! ❤️",joie,0,2,1
"Super nouvelle, je suis ravi !",joie,0,2,1
"C'est fantastique, je ne m'y attendais pas ! 🎉",joie,0,2,0
"Je suis trop content, c'est génial ! 😊",joie,0,2,1
"Quelle merveilleuse journée, j'adore !",joie,0,2,0
"Trop bien, je suis aux anges ! ❤️",joie,0,2,0
"Super nouvelle, je suis ravi !",joie,0,2,0
"C'est fantastique, je ne m'y attendais pas ! 🎉",joie,0,2,0
"Je suis trop content, c'est génial ! 😊",joie,0,2,0
"Quelle merveilleuse journée, j'adore !",joie,0,2,0
"Trop bien, je suis aux anges ! ❤️",joie,0,2,1
"Super nouvelle, je suis ravi !",joie,0,2,0
"C'est fantastique, je ne m'y attendais pas ! 🎉",joie,0,2,0
"Je suis trop content, c'est génial ! 😊",joie,0,2,0
"Quelle merveilleuse journée, j'adore !",joie,0,2,0
"Trop bien, je suis aux anges ! ❤️",joie,0,2,1
"Super nouvelle, je suis ravi !",joie,0,2,0
"C'est fantastique, je ne m'y attendais pas ! 🎉",joie,0,2,1
"Je suis trop content, c'est génial ! 😊",joie,0,2,0
"Quelle merveilleuse journée, j'adore !",joie,0,2,0
"Trop bien, je suis aux anges ! ❤️",joie,0,2,0
"Super nouvelle, je suis ravi !",joie,0,2,1
"C'est fantastique, je ne m'y attendais pas ! 🎉",joie,0,2,0
"Je suis trop content, c'est génial ! 😊",joie,0,2,0
"Quelle merveilleuse journée, j'adore !",joie,0,2,0
"Trop bien, je suis aux anges ! ❤️",joie,0,2,0
"Super nouvelle, je suis ravi !",joie,0,2,0
"C'est fantastique, je ne m'y attendais pas ! 🎉",joie,0,2,0
"Je suis trop content, c'est génial ! 😊",joie,0,2,1
"Quelle merveilleuse journée, j'adore !",joie,0,2,0
"Trop bien, je suis aux anges ! ❤️",joie,0,2,0
"Super nouvelle, je suis ravi !",joie,0,2,0
"C'est fantastique, je ne m'y attendais pas ! 🎉",joie,0,2,0
"Je suis trop content, c'est génial ! 😊",joie,0,2,0
"Quelle merveilleuse journée, j'adore !",joie,0,2,0
"Trop bien, je suis aux anges ! ❤️",joie,0,2,0
"Super nouvelle, je suis ravi !",joie,0,2,1
"C'est fantastique, je ne m'y attendais pas ! 🎉",joie,0,2,0
"Je suis trop content, c'est génial ! 😊",joie,0,2,0
"Quelle merveilleuse journée, j'adore !",joie,0,2,0
"Trop bien, je suis aux anges ! ❤️",joie,0,2,0
"Super nouvelle, je suis ravi !",joie,0,2,0
"C'est fantastique, je ne m'y attendais pas ! 🎉",joie,0,2,0
"Je suis trop content, c'est génial ! 😊",joie,0,2,0
"Quelle merveilleuse journée, j'adore !",joie,0,2,0
"Trop bien, je suis aux anges ! ❤️",joie,0,2,0
"Super nouvelle, je suis ravi !",joie,0,2,0
"C'est fantastique, je ne m'y attendais pas ! 🎉",joie,0,2,0
Je suis vraiment triste aujourd'hui 😢,tristesse,1,0,0
"C'est déprimant, rien ne va",tristesse,1,0,0
Je me sens si seul et abandonné,tristesse,1,0,0
"Quelle déception, je suis dévasté",tristesse,1,0,0
"Rien ne va plus, tout est noir 😔",tristesse,1,0,1
Je suis vraiment triste aujourd'hui 😢,tristesse,1,0,0
"C'est déprimant, rien ne va",tristesse,1,0,0
Je me sens si seul et abandonné,tristesse,1,0,0
"Quelle déception, je suis dévasté",tristesse,1,0,0
"Rien ne va plus, tout est noir 😔",tristesse,1,0,0
Je suis vraiment triste aujourd'hui 😢,tristesse,1,0,0
"C'est déprimant, rien ne va",tristesse,1,0,0
Je me sens si seul et abandonné,tristesse,1,0,1
"Quelle déception, je suis dévasté",tristesse,1,0,1
"Rien ne va plus, tout est noir 😔",tristesse,1,0,0
Je suis vraiment triste aujourd'hui 😢,tristesse,1,0,1
"C'est déprimant, rien ne va",tristesse,1,0,1
Je me sens si seul et abandonné,tristesse,1,0,0
"Quelle déception, je suis dévasté",tristesse,1,0,1
"Rien ne va plus, tout est noir 😔",tristesse,1,0,0
Je suis vraiment triste aujourd'hui 😢,tristesse,1,0,1
"C'est déprimant, rien ne va",tristesse,1,0,1
Je me sens si seul et abandonné,tristesse,1,0,0
"Quelle déception, je suis dévasté",tristesse,1,0,0
"Rien ne va plus, tout est noir 😔",tristesse,1,0,0
Je suis vraiment triste aujourd'hui 😢,tristesse,1,0,0
"C'est déprimant, rien ne va",tristesse,1,0,1
Je me sens si seul et abandonné,tristesse,1,0,1
"Quelle déception, je suis dévasté",tristesse,1,0,0
"Rien ne va plus, tout est noir 😔",tristesse,1,0,0
Je suis vraiment triste aujourd'hui 😢,tristesse,1,0,0
"C'est déprimant, rien ne va",tristesse,1,0,0
Je me sens si seul et abandonné,tristesse,1,0,0
"Quelle déception, je suis dévasté",tristesse,1,0,0
"Rien ne va plus, tout est noir 😔",tristesse,1,0,1
Je suis vraiment triste aujourd'hui 😢,tristesse,1,0,0
"C'est déprimant, rien ne va",tristesse,1,0,0
Je me sens si seul et abandonné,tristesse,1,0,0
"Quelle déception, je suis dévasté",tristesse,1,0,0
"Rien ne va plus, tout est noir 😔",tristesse,1,0,1
Je suis vraiment triste aujourd'hui 😢,tristesse,1,0,1
"C'est déprimant, rien ne va",tristesse,1,0,0
Je me sens si seul et abandonné,tristesse,1,0,0
"Quelle déception, je suis dévasté",tristesse,1,0,0
"Rien ne va plus, tout est noir 😔",tristesse,1,0,0
Je suis vraiment triste aujourd'hui 😢,tristesse,1,0,0
"C'est déprimant, rien ne va",tristesse,1,0,0
Je me sens si seul et abandonné,tristesse,1,0,0
"Quelle déception, je suis dévasté",tristesse,1,0,0
"Rien ne va plus, tout est noir 😔",tristesse,1,0,0
Je suis vraiment triste aujourd'hui 😢,tristesse,1,0,1
"C'est déprimant, rien ne va",tristesse,1,0,0
Je me sens si seul et abandonné,tristesse,1,0,0
"Quelle déception, je suis dévasté",tristesse,1,0,0
"Rien ne va plus, tout est noir 😔",tristesse,1,0,1
Je suis vraiment triste aujourd'hui 😢,tristesse,1,0,0
"C'est déprimant, rien ne va",tristesse,1,0,0
Je me sens si seul et abandonné,tristesse,1,0,0
"Quelle déception, je suis dévasté",tristesse,1,0,0
"Rien ne va plus, tout est noir 😔",tristesse,1,0,0
Je suis vraiment triste aujourd'hui 😢,tristesse,1,0,0
"C'est déprimant, rien ne va",tristesse,1,0,0
Je me sens si seul et abandonné,tristesse,1,0,0
"Quelle déception, je suis dévasté",tristesse,1,0,0
"Rien ne va plus, tout est noir 😔",tristesse,1,0,0
Je suis vraiment triste aujourd'hui 😢,tristesse,1,0,1
"C'est déprimant, rien ne va",tristesse,1,0,0
Je me sens si seul et abandonné,tristesse,1,0,0
"Quelle déception, je suis dévasté",tristesse,1,0,0
"Rien ne va plus, tout est noir 😔",tristesse,1,0,0
Je suis vraiment triste aujourd'hui 😢,tristesse,1,0,0
"C'est déprimant, rien ne va",tristesse,1,0,0
Je me sens si seul et abandonné,tristesse,1,0,0
"Quelle déception, je suis dévasté",tristesse,1,0,0
"Rien ne va plus, tout est noir 😔",tristesse,1,0,0
Je suis vraiment triste aujourd'hui 😢,tristesse,1,0,0
"C'est déprimant, rien ne va",tristesse,1,0,0
Je me sens si seul et abandonné,tristesse,1,0,0
"Quelle déception, je suis dévasté",tristesse,1,0,1
"Rien ne va plus, tout est noir 😔",tristesse,1,0,0
Je suis vraiment triste aujourd'hui 😢,tristesse,1,0,0
